"Año","Código actividad económica","Nombre actividad económica","Código sector económico","Nombre sector económico","Código subsector económico","Nombre subsector económico","Costos y gastos nómina","Aportes seguridad","Aportes a entidades","Efectivo y equivalentes","Inversiones e instrumentos","Cuentas y otros por cobrar","Inventarios","Propiedades","Otros activos","Total patrimonio bruto","Pasivos","Total patrimonio líquido","Ingresos ordinarios","Ingresos financieros","Otros ingresos","Total ingresos brutos","Devoluciones, rebajas","Ingresos no renta","Total ingresos netos","Costos","Gastos administración","Gastos distribución","Gastos financieros","Otros gastos","Total costos y gastos","Renta líquida ordinaria","Pérdida líquida","Compensaciones","Renta líquida","Renta presuntiva","Renta exenta","Rentas gravables","Renta líquida gravable","Ingresos ganancias ocasionales","Costos ganancias ocasionales","Ganancias ocasionales no gravadas","Ganancias ocasionales gravables","Impuesto RLG","Descuentos tributarios","Impuesto neto de renta","Impuesto ganancias ocasionales","Total Impuesto a cargo","Anticipo renta año anterior","Saldo a favor año anterior","Autorretenciones","Otras retenciones","Total retenciones","Anticipo renta siguiente año","Saldo a pagar por impuesto","Sanciones","Total saldo a pagar","Total saldo a favor"
"2014","2592","Tratamiento y revestimiento de metales; mecanizado","3","Manufactura","3","Industrias manufactureras","107835","14391","3831","67269","8601","298989","301026","290323","17777","983986","634301","364560","1115463","2903","58139","1176505","13857","542","1162106","864587","98460","70453","1","109345","278260","42130","27524","166","41964","11205","130","0","47085","2563","2138","0","645","11633","8","11625","62","11687","781","3453","14939","10419","25358","902","2133","60","2139","19082"
"2020","149","CRÍA DE OTROS ANIMALES N.C.P.","1","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","1","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","28734","2985","980","24756","36847","75918","33163","121116","7870","331109","195565","144225","208637","1645","5562","216156","4622","2193","209432","144889","31798","21418","4776","792","203672","8443","3287","314","8129","547","266","1","8036","13122","12680","0","442","2558","35","2523","44","2567","593","424","860","2395","3255","491","444","11","452","1655"
"2021","6615","Actividades de los profesionales de compra y venta de divisas","8","Actividades financieras, inmobiliarias y de seguros","11","Actividades financieras y de seguros","15133","1746","548","38893","1229","7472","593","7103","1846","58779","23702","35250","47525","122","932","48579","17","0","48561","4090","32547","6333","1559","194","44723","4937","1089","1111","3825","15","0","0","3840","0","0","0","0","1190","75","1115","0","1115","408","904","368","463","830","705","215","2","217","536"
"2016","9004","CREACIÓN AUDIOVISUAL","11","OTRAS ACTIVIDADES DE SERVICIOS","18","ACTIVIDADES ARTÍSTICAS, DE ENTRETENIMIENTO Y RECREACIÓN","5289","923","173","6797","100","8334","946","5535","1603","23316","12122","12067","33930","141","762","34833","117","0","34716","11569","16655","1676","0","674","30575","4907","766","12","4895","149","949","0","3971","0","0","0","0","772","31","740","0","740","36","477","0","900","900","67","197","7","201","799"
"2014","9003","Creación teatral","11","Otras actividades de servicios","18","Actividades artísticas, de entretenimiento y recreación","503","74","24","2643","47","2427","139","4285","414","9953","3804","6175","15456","24","722","16202","1","12","16189","7380","5568","896","0","330","6794","1672","127","0","1672","44","184","0","528","0","0","0","0","102","0","102","0","102","14","6","0","113","113","22","35","3","37","43"
"2014","8622","Actividades de la práctica odontológica","10","Actividades de la administración pública y defensa, de enseñanza, actividades de atención de la salud y de asistencia social","17","Actividades de atención de la salud humana y de asistencia social","125438","14746","4598","49539","16589","108654","14106","165090","36829","390807","212406","180887","696202","2202","8595","706999","3011","312","703676","333459","241281","67028","13","17163","325485","36477","3238","813","35665","3282","1257","0","34750","2062","1721","0","341","8265","21","8244","34","8278","1660","3551","97","9058","9155","2156","2699","46","2725","6611"
"2015","8552","ENSEÑANZA DEPORTIVA Y RECREATIVA","10","ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA Y DEFENSA, DE ENSEÑANZA, ACTIVIDADES DE ATENCIÓN DE LA SALUD Y DE ASISTENCIA SOCIAL","16","EDUCACIÓN","17224","2922","1009","48827","652","94693","1073","318346","225316","688907","44680","649049","237511","5171","3431","246114","397","19","245697","23955","150730","10001","0","2036","25991","4320","3165","6","4320","184","1960","0","2415","20","19","2","0","390","6","384","0","384","43","119","0","354","354","56","100","6","105","175"
"2021","4652","Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones","6","Comercio al por mayor y al por menor, transporte  y almacenamiento, actividades de alojamiento y de servicio de comidas","7","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","660035","68470","23733","766626","49323","3080218","1317954","955023","567110","6769262","4960837","1998111","10896032","139343","58076","11098764","336992","5917","10755855","7967396","1152064","486322","657267","33208","10296257","538283","77508","11309","526974","88","398","199","526788","16946","10581","285","6102","161933","41551","120382","627","121009","5795","53768","229122","90847","319969","8032","14743","100","14776","265037"
"2021","6621","Actividades de agentes y corredores de seguros","8","Actividades financieras, inmobiliarias y de seguros","11","Actividades financieras y de seguros","811593","84328","30125","695549","141606","1031913","5343","379766","229059","2512809","1029365","1507041","2858548","41613","46675","2950839","245551","4435","2700856","202210","1500826","221953","37602","15731","1978322","737037","11844","1675","735363","186","1210","233","734390","20582","14788","297","5613","224605","9955","214661","630","215291","14257","58763","126583","146859","273443","16803","28111","246","28144","142215"
"2021","6494","Otras actividades de distribución de fondos","8","Actividades financieras, inmobiliarias y de seguros","11","Actividades financieras y de seguros","125022","14666","5325","4661947","18199240","7722536","22933","2185454","271269","33203712","11124459","25120398","1299351","212544","238187","3176900","8157","1381365","1787379","307541","451253","53425","645053","119954","1577225","281060","60467","51907","229153","16","16213","0","212941","473067","284696","6204","183413","65538","8156","58119","18395","76514","23632","6407","8144","29359","37503","18109","47221","24","47238","20125"
