"Año","Código actividad económica","Nombre actividad económica","Código sector económico","Nombre sector económico","Código subsector económico","Nombre subsector económico","Costos y gastos nómina","Aportes seguridad","Aportes a entidades","Efectivo y equivalentes","Inversiones e instrumentos","Cuentas y otros por cobrar","Inventarios","Propiedades","Otros activos","Total patrimonio bruto","Pasivos","Total patrimonio líquido","Ingresos ordinarios","Ingresos financieros","Otros ingresos","Total ingresos brutos","Devoluciones, rebajas","Ingresos no renta","Total ingresos netos","Costos","Gastos administración","Gastos distribución","Gastos financieros","Otros gastos","Total costos y gastos","Renta líquida ordinaria","Pérdida líquida","Compensaciones","Renta líquida","Renta presuntiva","Renta exenta","Rentas gravables","Renta líquida gravable","Ingresos ganancias ocasionales","Costos ganancias ocasionales","Ganancias ocasionales no gravadas","Ganancias ocasionales gravables","Impuesto RLG","Descuentos tributarios","Impuesto neto de renta","Impuesto ganancias ocasionales","Total Impuesto a cargo","Anticipo renta año anterior","Saldo a favor año anterior","Autorretenciones","Otras retenciones","Total retenciones","Anticipo renta siguiente año","Saldo a pagar por impuesto","Sanciones","Total saldo a pagar","Total saldo a favor"
"2019","123","CULTIVO DE CAFÉ","1","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","1","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","48719","5449","1625","47814","29831","242314","199471","334862","13519","972764","572083","407883","1974146","31727","16866","2029132","25017","8589","1995751","1734270","66806","89250","67257","2622","1960205","38645","4259","6821","31824","3959","5234","1","27384","18420","9144","131","9145","8001","135","7873","921","8794","1134","1051","1380","5105","6485","1160","2913","29","2937","1623"
"2021","2816","Fabricación de equipo de elevación y manipulación","3","Manufactura","3","Industrias manufactureras","72400","9247","2489","33933","2423","125966","128699","35562","10906","343171","222403","127592","445975","1945","2790","450710","56431","235","394044","280520","40401","45230","6578","611","373340","22257","1309","1613","20644","16","10","0","20634","11636","11511","0","175","6379","617","5762","17","5780","102","1285","4736","6225","10961","191","533","14","538","6902"
"2012","7210","Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería ","9","Actividades profesionales, científicas, técnicas y de servicios administrativos y de apoyo","13","Actividades profesionales, científicas y técnicas","240190","36778","13513","524163","19607","317017","36010","412219","653068","1962095","564922","1411146","1145027","41433","52065","1238461","3688","4243","1230658","418834","690719","28586","846","55819","776369","87349","26521","4890","82458","2083","48447","27","33885","822","581","101","140","10384","257","10138","35","10174","488","3467","3125","12265","15390","685","1415","49","1440","9873"
"2016","8422","ACTIVIDADES DE DEFENSA","10","ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA Y DEFENSA, DE ENSEÑANZA, ACTIVIDADES DE ATENCIÓN DE LA SALUD Y DE ASISTENCIA SOCIAL","15","ADMINISTRACIÓN PÚBLICA Y DEFENSA","3978","599","179","4453","0","3656","72","5800","180","14162","3889","10272","19608","9","2937","22555","0","0","22555","290","21508","2504","0","503","24804","133","249","10","123","34","41","0","109","0","0","0","0","23","0","23","0","23","5","3","0","10","10","6","14","0","14","3"
"2015","5224","MANIPULACIÓN DE CARGA","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","8","TRANSPORTE Y ALMACENAMIENTO","312622","43778","10890","169620","134239","583828","31062","692967","577816","2189532","1499631","739093","1508830","16237","750633","2275700","17025","13388","2245286","772852","361890","138608","100","7486","780338","188798","122213","43128","188798","18231","1205","0","194838","67335","18789","0","48564","47126","8","46290","4856","51147","5903","7178","12907","31365","44272","9477","25580","26","25587","22289"
"2015","8219","FOTOCOPIADO, PREPARACIÓN DE DOCUMENTOS Y OTRAS ACTIVIDADES ESPECIALIZADAS DE APOYO A OFICINA","9","ACTIVIDADES PROFESIONALES, CIENTÍFICAS, TÉCNICAS Y DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","14","ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","6259","643","191","5942","5272","15796","8674","17276","1013","53974","23193","30853","48013","93","1911","50017","793","509","48715","24567","11142","4499","0","1306","25873","6678","173","0","6678","695","16","0","6732","25","25","0","0","1661","4","1657","0","1657","211","248","6","1342","1348","228","426","1","426","347"
"2014","4644","Comercio al por mayor de aparatos y equipo de uso doméstico","6","Comercio al por mayor y al por menor, transporte  y almacenamiento, actividades de alojamiento y de servicio de comidas","7","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","114086","11851","3948","92196","7615","915163","510778","68333","31058","1625142","1305263","357806","3549766","26628","66307","3642701","222683","5599","3414419","2413021","131168","701836","11","104522","937537","75953","16182","10230","65723","10798","376","0","67127","1913","1236","0","677","16617","0","16614","68","16682","1607","4976","59277","13886","73164","2380","5191","39","5203","65849"
"2012","899","Extracción de otros minerales no metálicos n.c.p.","2","Minería","2","Explotación de minas y canteras","9956","1459","450","7885","394","39038","6221","29020","200762","283319","77320","206639","49464","118","2941","52522","516","69","51937","38093","18079","2734","0","2224","23037","1419","13252","0","1419","530","0","0","1521","0","0","0","0","433","0","433","0","433","22","82","499","444","943","32","56","7","59","634"
"2018","610","EXTRACCIÓN DE PETRÓLEO CRUDO","2","MINERÍA","2","EXPLOTACIÓN DE MINAS Y CANTERAS","4091017","290026","96376","5650551","56869526","20499841","4644669","37816276","4681548","152601088","61021222","92008155","81740516","5615033","4591075","95297298","83148","3349381","91864820","60532317","5340780","661162","6588073","810385","73932716","18790885","861116","800418","17990467","2080139","7045","0","18248775","2802038","1389793","20771","1559611","6021270","60440","5960830","155961","6843982","161384","114002","5521019","460860","5981878","438501","1569769","175","1569776","1041081"
"2012","1513","Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales","3","Manufactura","3","Industrias manufactureras","43828","6119","2535","12016","1977","99328","122849","34034","10836","281304","211739","72672","353159","882","22362","376403","2107","1","374295","168370","59867","94037","23","24478","178404","27036","344","0","26999","1922","115","0","26953","300","299","0","1","8881","57","8816","0","8824","19","183","2898","2418","5309","1207","4841","9","4853","330"
"2018","1393","FABRICACIÓN DE TAPETES Y ALFOMBRAS PARA PISOS","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","8960","1113","335","2428","663","15535","12788","14723","1794","48897","28025","21001","54525","517","537","55579","2396","64","53118","32366","9283","7044","1303","73","50069","3257","208","101","3157","427","0","0","3254","682","646","0","37","1083","20","1063","4","1078","48","811","607","609","1216","18","232","0","232","1234"
"2014","3099","Fabricación de otros tipos de equipo de transporte n.c.p.","3","Manufactura","3","Industrias manufactureras","1685","254","62","5125","18","9321","2451","2265","1909","21089","9778","11339","14079","9","158","14246","9","0","14237","7864","3295","608","0","426","4329","2175","200","865","1309","304","0","0","1483","3643","2736","0","907","371","0","371","91","462","21","1061","0","303","303","65","30","5","31","883"
"2019","7420","ACTIVIDADES DE FOTOGRAFÍA","9","ACTIVIDADES PROFESIONALES, CIENTÍFICAS, TÉCNICAS Y DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","13","ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS","14135","1386","451","4762","6785","28576","6717","40138","3665","91645","47062","45242","61978","1298","2349","65626","807","0","64818","26382","25314","2270","1131","494","55591","9556","327","576","8980","731","0","0","9005","652","607","0","45","2848","37","2811","5","2815","228","741","471","2288","2759","222","524","5","526","1203"
"2014","2829","Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.","3","Manufactura","3","Industrias manufactureras","88407","12677","3790","85039","3078","241637","246934","102609","6932","686229","407841","284364","619313","23600","34437","677350","3854","365","673131","466512","87645","40311","0","47379","175335","46471","17014","2340","44132","9180","639","0","45547","822","252","543","31","9426","406","9020","3","9023","1024","9715","890","14929","15818","772","982","16","986","17732"
"2015","610","EXTRACCIÓN DE PETRÓLEO CRUDO","2","MINERÍA","2","EXPLOTACIÓN DE MINAS Y CANTERAS","3550621","254231","85776","7739450","39101865","21244625","3079524","54542763","18859929","144568156","69679066","75669864","65891090","12072553","13077837","91041480","107319","4904086","86030075","57214767","4598087","2132013","0","1664","57216432","4791654","3660373","162145","4791654","1740967","4556","0","5148455","939093","356017","110","585760","1287089","96712","1190378","58576","1248954","2314424","192673","857557","259190","1116747","207021","266786","10909","266792","2423753"
"2017","4661","COMERCIO AL POR MAYOR DE COMBUSTIBLES SÓLIDOS, LÍQUIDOS, GASEOSOS Y PRODUCTOS CONEXOS","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","7","COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS","531778","69481","23555","1046765","626039","2839952","1904719","4237484","495613","11691999","7661731","4224768","36087827","132410","225161","36477391","667265","12498","35792020","31703503","1294931","1196767","317134","155025","34667359","1276180","151631","26876","1249304","113537","4714","27","1269186","125594","119625","2194","12835","425118","11727","413391","1300","483241","65551","11432","166360","41956","208317","120114","363792","34","363808","72033"
"2013","8720","Actividades de atención residencial, para el cuidado de pacientes con retardo mental, enfermedad mental y consumo de sustancias psicoactivas","10","Actividades de la administración pública y defensa, de enseñanza, actividades de atención de la salud y de asistencia social","17","Actividades de atención de la salud humana y de asistencia social","13598","2188","836","6674","593","9472","306","11396","629","29070","9619","19521","59920","137","1196","61254","504","0","60750","30299","25684","215","0","592","26491","4020","272","0","4020","156","1712","0","2308","156","0","156","0","570","0","570","0","570","1","0","0","630","630","0","37","1","38","99"
"2020","9001","CREACIÓN LITERARIA","11","OTRAS ACTIVIDADES DE SERVICIOS","18","ACTIVIDADES ARTÍSTICAS, DE ENTRETENIMIENTO Y RECREACIÓN","1822","554","175","4186","230","6428","136","6907","541","18459","2939","15738","16159","116","604","16878","2027","0","14851","1456","6558","33","83","118","8248","2587","398","9","2578","32","1982","6","609","0","0","0","0","193","3","190","0","190","11","282","44","183","226","72","36","1","37","293"
"2012","2395","Fabricación de artículos de hormigón, cemento y yeso","3","Manufactura","3","Industrias manufactureras","140789","24505","8634","91301","67025","491286","166112","533574","78750","1428048","713595","718469","1993043","11002","31902","2035946","50456","1367","1984122","1606236","95887","120956","0","47624","264467","120891","11033","37865","83026","18059","3591","491","86807","11393","10947","23","440","28222","624","27598","145","27743","1990","3782","48530","10710","59238","1814","2295","6","2299","37747"
"2016","4741","COMERCIO AL POR MENOR DE COMPUTADORES, EQUIPOS PERIFÉRICOS, PROGRAMAS DE INFORMÁTICA Y EQUIPOS DE TELECOMUNICACIONES EN ESTABLECIMIENTOS ESPECIALIZADOS","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","7","COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS","319985","35196","12320","212684","49873","757329","419911","257406","84383","1781585","1092373","714172","3707210","38784","73536","3819530","89364","229","3729936","2718632","386611","372335","24","109461","3587064","170012","27140","2046","167966","17409","885","0","170235","1755","641","0","1122","42186","114","42072","114","42186","3314","14626","15484","66715","82199","2821","4962","107","4975","57394"
"2014","8543","Educación de instituciones universitarias o de escuelas tecnológicas","10","Actividades de la administración pública y defensa, de enseñanza, actividades de atención de la salud y de asistencia social","16","Educación","549284","96760","38874","749865","7927","180639","4621","931771","340070","2214891","602410","1615235","1358838","27480","143189","1529507","87545","6925","1435037","576036","560272","55808","134","39090","655304","6162","2789","338","5824","74","4783","0","266","153","77","0","76","62","0","62","8","70","9","34","0","71","71","11","20","1","22","54"
"2013","230","Recolección de productos forestales diferentes a la madera","1","Agricultura, ganadería, caza, silvicultura y pesca","1","Agricultura, ganadería, caza, silvicultura y pesca","378","71","25","94","0","159","0","619","41","913","298","615","1114","0","52","1166","0","0","1166","800","233","66","0","36","336","31","1","0","31","7","14","0","17","0","0","0","0","4","0","4","0","4","0","0","0","4","4","0","0","0","0","0"
"2017","9810","ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES INDIVIDUALES COMO PRODUCTORES DE BIENES PARA USO PROPIO","11","OTRAS ACTIVIDADES DE SERVICIOS","20","ACTIVIDADES DE LOS HOGARES INDIVIDUALES EN CALIDAD DE EMPLEADORES O DE ACTIVIDADES NO DIFERENCIADAS ","0","0","0","222","683","124","0","723","0","1752","1392","360","5","0","0","5","0","0","5","0","7","0","0","0","7","5","7","0","5","12","0","0","12","0","0","0","0","4","0","4","0","4","0","0","0","0","0","0","4","0","4","0"
"2012","2393","Fabricación de otros productos de cerámica y porcelana","3","Manufactura","3","Industrias manufactureras","124005","27648","10298","5763","81423","242790","159937","197970","61187","749070","553894","195476","1094800","3069","43330","1141199","59511","8","1081680","625678","105445","235526","0","99927","440898","15298","198","4517","10781","5828","0","0","10799","352","142","0","210","3564","0","3564","69","3633","34","18","30074","167","30241","30","59","1","60","26688"
"2017","6202","ACTIVIDADES DE CONSULTORÍA INFORMÁTICA Y ACTIVIDADES DE ADMINISTRACIÓN DE INSTALACIONES INFORMÁTICAS","7","INFORMACIÓN Y COMUNICACIONES","10","INFORMACIÓN Y COMUNICACIONES","1664559","203006","73282","580787","3685574","2429338","196805","1033572","256986","8484970","5690623","2845215","5619428","61655","67316","5761017","93362","14000","5653191","2749704","1382008","860828","186991","24096","5203627","547228","97688","16036","531192","64947","32816","100","504869","12831","7416","198","5315","153519","5798","147722","545","163673","12932","36276","167052","125357","292410","11693","24123","69","24139","214510"
"2017","8530","ESTABLECIMIENTOS QUE COMBINAN DIFERENTES NIVELES DE EDUCACIÓN ","10","ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA Y DEFENSA, DE ENSEÑANZA, ACTIVIDADES DE ATENCIÓN DE LA SALUD Y DE ASISTENCIA SOCIAL","16","EDUCACIÓN","1693157","268726","101795","1064648","271863","534478","16698","3825737","322098","6079350","1255735","4838803","3807723","78802","234121","4121427","100599","830","4018978","1357650","2009856","224840","56707","66318","3715371","247592","7053","12615","235007","7627","167104","472","77632","4122","3261","592","716","24443","338","24157","75","25678","4854","2604","5888","7001","12874","5724","13881","36","13910","6643"
"2017","9420","ACTIVIDADES DE SINDICATOS DE EMPLEADOS","11","OTRAS ACTIVIDADES DE SERVICIOS","19","OTRAS ACTIVIDADES DE SERVICIOS","544276","81451","13059","110714","27835","237242","625","133530","8467","518686","240993","278768","1073328","2797","18799","1095025","3810","4550","1087038","602237","267847","126180","6847","28299","1031410","11275","7827","0","11122","365","8655","0","3692","366","366","0","0","1030","1","1030","0","1080","74","0","56","125","181","40","903","20","922","1"
"2014","8530","Establecimientos que combinan diferentes niveles de educación ","10","Actividades de la administración pública y defensa, de enseñanza, actividades de atención de la salud y de asistencia social","16","Educación","1042524","154879","60424","546602","37856","318287","7302","1209204","126612","2245864","754374","1500442","2328886","25717","175398","2530001","47120","1072","2481809","645697","1414282","180133","2174","89373","1685962","133944","15453","5694","128250","6096","74884","134","51205","11705","4996","3333","3376","12387","2","12385","338","12723","3944","3134","78","5479","5557","4334","8789","69","8848","4359"
"2013","9420","Actividades de sindicatos de empleados","11","Otras actividades de servicios","19","Otras actividades de servicios","125520","17560","2616","12006","171","44826","55","5499","142","62697","46855","15939","225050","189","2778","228016","568","41","227407","119193","62215","19622","60","1822","83719","2745","67","0","2745","2","2644","0","103","16","16","0","0","17","0","17","0","17","0","248","0","5","5","0","12","2","13","247"
"2019","7710","ALQUILER Y ARRENDAMIENTO DE VEHÍCULOS AUTOMOTORES","9","ACTIVIDADES PROFESIONALES, CIENTÍFICAS, TÉCNICAS Y DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","14","ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","80210","9106","2791","110198","170963","597162","5555","1723546","124778","2753762","2020985","788009","1288938","20745","258205","1572350","2919","6923","1562508","822704","277786","87647","106708","92482","1387328","253077","3376","2226","250851","6120","48386","0","203172","120671","117646","58","4146","66943","45612","21396","426","21822","2688","15331","41967","17787","59755","894","2296","23","2304","57339"
"2019","3230","FABRICACIÓN DE ARTÍCULOS Y EQUIPO PARA LA PRÁCTICA DEL DEPORTE","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","10170","1180","309","8735","3631","41738","33405","18261","1153","107987","64142","45036","94934","525","1787","97291","2472","764","94098","57028","18580","8592","2004","212","86416","8308","625","266","8042","636","0","0","8071","2065","933","0","1131","2663","83","2580","113","2693","528","594","422","1771","2194","428","552","5","552","741"
"2019","3600","CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA","4","ELECTRICIDAD, GAS, VAPOR Y AGUA","5","DISTRIBUCIÓN DE AGUA; EVACUACIÓN Y TRATAMIENTO DE AGUAS RESIDUALES, Y ACTIVIDADES DE SANEAMIENTO AMBIENTAL","1824032","110358","44193","2935695","695709","2578147","195481","13004911","2121790","22605039","8706006","14150481","6953061","179471","325408","7462754","42193","54489","7366139","3857688","1845441","62046","119476","106093","5990744","1601273","48115","8489","1592784","14749","95206","45","1498784","12554","9479","193","2894","494035","66200","427974","296","428270","66004","28814","221271","17176","238448","85265","224703","213","224786","44307"
"2021","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados","6","Comercio al por mayor y al por menor, transporte  y almacenamiento, actividades de alojamiento y de servicio de comidas","7","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","520305","61298","17764","682545","45164","719148","372458","1265173","220921","5245379","3762625","1509484","4293235","45905","59540","4401926","201907","3710","4196335","3316385","407888","348739","282634","41266","4396912","157191","356633","7208","149983","87","2852","42","147184","8196","5272","0","3008","45240","6909","38331","303","38634","6153","9332","64490","30315","94806","6800","17450","98","17527","82284"
"2016","721","EXTRACCIÓN DE MINERALES DE URANIO Y DE TORIO","2","MINERÍA","2","EXPLOTACIÓN DE MINAS Y CANTERAS","144","19","4","14","0","1499","0","59","45479","47052","3117","43935","0","0","17","17","0","0","17","0","0","0","0","0","0","17","0","0","17","35","0","0","35","0","0","0","0","9","0","9","0","9","5","77","0","0","0","6","1","0","1","68"
"2015","8230","ORGANIZACIÓN DE CONVENCIONES Y EVENTOS COMERCIALES","9","ACTIVIDADES PROFESIONALES, CIENTÍFICAS, TÉCNICAS Y DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","14","ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","60047","7121","2155","68584","2182","189835","26853","284403","16080","587937","246674","344876","588401","7872","12045","608317","18345","881","589331","328232","123963","70882","528","8095","336327","52177","10156","89","52177","3350","695","0","51835","4131","3385","0","745","12074","66","11764","76","11840","570","4625","4849","17463","22312","911","1452","48","1475","16183"
"2012","8890","Otras actividades de asistencia social sin alojamiento","10","Actividades de la administración pública y defensa, de enseñanza, actividades de atención de la salud y de asistencia social","17","Actividades de atención de la salud humana y de asistencia social","81344","13418","5552","191702","71933","103849","13690","130804","29227","541207","131417","411108","463356","8382","55631","526854","1364","20745","505958","203731","227682","20487","3","26191","274415","38171","6367","181","37930","775","31041","281","3207","425","38","387","0","801","0","797","0","801","55","717","1","698","702","44","333","52","374","951"
"2015","4782","COMERCIO AL POR MENOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO, EN PUESTOS DE VENTA MÓVILES","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","7","COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS","173","18","5","1617","0","2558","1634","261","101","6171","4597","1579","8431","27","182","8641","210","0","8430","6710","857","205","0","215","6925","284","43","0","284","25","0","0","298","753","287","0","466","67","2","66","47","112","1","0","0","67","67","3","53","1","54","7"
"2017","8291","ACTIVIDADES DE AGENCIAS DE COBRANZA Y OFICINAS DE CALIFICACIÓN CREDITICIA","9","ACTIVIDADES PROFESIONALES, CIENTÍFICAS, TÉCNICAS Y DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","14","ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","81562","8405","2568","62277","38659","135781","9","49941","12209","300586","143558","159658","273588","6662","18800","321765","2119","21529","296939","26003","183727","19095","4284","2028","235137","62871","1069","353","62518","3932","216","9","62375","1343","119","0","1224","19749","4","19745","123","21982","2491","1515","3105","9522","12628","3970","12238","4","12239","3721"
"2019","5121","TRANSPORTE AÉREO NACIONAL DE CARGA ","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","8","TRANSPORTE Y ALMACENAMIENTO","58849","6930","889","31766","2892","77087","1488","51891","22395","187535","115175","85282","473172","5991","4844","484007","1685","0","482321","319120","70604","66721","5755","6897","469098","15646","2422","0","15646","1164","0","0","15672","6427","4296","0","2130","5172","1256","3916","213","4129","148","767","8341","730","9072","184","434","1","434","6106"
"2019","170","CAZA ORDINARIA Y MEDIANTE TRAMPAS Y ACTIVIDADES DE SERVICIOS CONEXAS","1","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","1","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","1142","99","27","1061","0","1423","60","159","99","2805","1315","1490","4139","2","3","4143","15","0","4128","3038","330","198","39","10","3615","514","1","0","514","15","0","0","514","0","0","0","0","170","0","170","0","170","1","105","15","124","139","9","35","1","35","101"
"2018","2824","FABRICACIÓN DE MAQUINARIA PARA EXPLOTACIÓN DE MINAS Y CANTERAS Y PARA OBRAS DE CONSTRUCCIÓN","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","39545","5286","1199","4914","2695","212230","62946","49885","4339","338387","265216","75575","217972","1241","2075","221289","4680","50","216559","151182","29238","7057","6886","1561","195924","24550","3915","1824","22726","2376","107","0","22917","888","651","0","237","5741","1","5741","24","5834","165","2611","883","5709","6592","194","599","0","599","3978"
"2019","9411","ACTIVIDADES DE ASOCIACIONES EMPRESARIALES Y DE EMPLEADORES","11","OTRAS ACTIVIDADES DE SERVICIOS","19","OTRAS ACTIVIDADES DE SERVICIOS","652654","100602","40783","524866","1124431","1261115","21532","1292752","108963","4372412","1185054","3194218","2749278","88439","105305","2958982","17264","1345847","1596026","229219","1051815","75508","30789","33941","1421272","35766","2223","102","35664","145","29996","10","6316","495","430","49","15","4233","1","4232","2","4233","48","284","111","571","682","63","3596","25","3621","313"
"2016","1030","ELABORACIÓN DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","339695","39205","12469","237424","799870","1689872","555243","1360297","95157","4737864","3326860","1517548","6875789","85333","365470","7326592","137550","74268","7114774","5795799","342212","351505","0","371930","6861446","279234","25906","83670","195564","33078","672","0","200256","6790","5330","0","1459","45320","109","47664","146","47810","2498","13542","69940","30456","100396","3574","9780","46","9782","66607"
"2012","149","Cría de otros animales n.c.p.","1","Agricultura, ganadería, caza, silvicultura y pesca","1","Agricultura, ganadería, caza, silvicultura y pesca","32550","5275","2035","6185","9532","60081","40466","72136","11562","199962","145515","58668","184385","604","6658","191647","1405","351","189892","136804","21470","18009","0","11050","50529","5674","3940","1573","4102","1162","40","0","4392","266","207","0","60","1442","0","1442","20","1462","266","106","19","1276","1295","476","1103","10","1113","832"
"2019","312","PESCA DE AGUA DULCE","1","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","1","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","3561","401","100","1990","511","7778","6708","24732","3807","50264","20775","30315","56037","25","680","56777","562","0","56215","44803","4744","2720","807","463","53538","3244","568","16","3228","393","2","0","3229","0","0","0","0","1065","24","1040","0","1040","165","296","198","639","838","63","121","6","125","311"
"2013","3290","Otras industrias manufactureras n.c.p.","3","Manufactura","3","Industrias manufactureras","267106","43514","11763","340026","59638","1003792","467674","610383","130829","2612342","1258059","1383336","2274555","46432","97811","2418799","95872","1097","2321830","1572729","247647","200001","5","108861","556512","207084","23236","2193","204891","37449","627","0","207842","20146","15649","0","4508","49569","91","49478","451","49929","6361","7140","34556","20509","55065","6403","10146","60","10163","22337"
"2018","7740","ARRENDAMIENTO DE PROPIEDAD INTELECTUAL Y PRODUCTOS SIMILARES, EXCEPTO OBRAS PROTEGIDAS POR DERECHOS DE AUTOR","9","ACTIVIDADES PROFESIONALES, CIENTÍFICAS, TÉCNICAS Y DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","14","ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","5498","650","217","12040","6607","14790","1254","10470","1233","65952","35890","31341","31733","884","732","33505","313","180","33012","7693","10797","8540","275","85","27390","6499","877","0","6499","1123","29","3","6703","464","463","0","1","2039","0","2039","0","2056","645","288","237","1487","1724","667","938","0","938","980"
"2012","9492","Actividades de asociaciones políticas","11","Otras actividades de servicios","19","Otras actividades de servicios","7648","1390","516","30407","88","8273","27","4743","2051","45588","26392","19611","43908","631","8265","52804","0","6","52810","3","33392","122","0","5092","38606","659","155","0","658","0","638","0","21","0","0","0","0","4","0","4","0","4","0","3","0","8","8","0","0","2","2","7"
"2018","7721","ALQUILER Y ARRENDAMIENTO DE EQUIPO RECREATIVO Y DEPORTIVO","9","ACTIVIDADES PROFESIONALES, CIENTÍFICAS, TÉCNICAS Y DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","14","ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","1789","229","56","1891","1","3373","562","11552","342","17736","13948","6923","17390","14","196","17599","305","4","17295","6101","9166","1397","98","87","16850","1262","805","0","1262","168","33","0","1282","0","0","0","0","390","0","390","0","390","43","151","81","331","411","27","51","2","52","238"
"2015","9523","REPARACIÓN DE CALZADO Y ARTÍCULOS DE CUERO","11","OTRAS ACTIVIDADES DE SERVICIOS","19","OTRAS ACTIVIDADES DE SERVICIOS","15","1","0","2","0","136","0","0","0","138","95","43","139","0","0","139","0","0","139","76","25","0","0","0","76","38","0","0","38","0","0","0","38","0","0","0","0","9","0","9","0","9","0","0","0","4","4","0","6","0","6","0"
"2015","8292","ACTIVIDADES DE ENVASE Y EMPAQUE","9","ACTIVIDADES PROFESIONALES, CIENTÍFICAS, TÉCNICAS Y DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","14","ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","143116","16459","4527","22843","641","71825","11392","25568","3659","135929","86148","53857","316885","414","5678","322978","4056","2","318920","184086","94917","10355","0","3465","187551","22751","1427","7","22751","1405","23","0","22871","105","85","0","20","5560","143","5406","2","5408","506","1215","528","10290","10818","330","315","7","316","7111"
"2012","9311","Gestión de instalaciones deportivas","11","Otras actividades de servicios","18","Actividades artísticas, de entretenimiento y recreación","3280","539","252","5472","178","3166","1004","12133","3758","25710","6600","19114","28962","158","1008","30128","23","0","30105","4659","9569","2772","0","10543","22883","924","110","28","896","179","214","0","688","0","0","0","0","177","0","177","0","177","18","44","0","108","108","29","74","2","74","38"
